Locality,Restaurant Count,Percentage
"Hotel Classic Diplomat, Mahipalpur",2,0.02
"Hotel Regent Grand, Karol Bagh",2,0.02
"Jaypee Siddharth, Rajendra Place",2,0.02
Kapashera,2,0.02
Lajpat Nagar 4,2,0.02
Mathura Road,2,0.02
Pragati Maidan,2,0.02
"Premier Inn, Shalimar Bagh",2,0.02
"Radisson Blu, Paschim Vihar",2,0.02
Shanti Niketan Marg,2,0.02
"Southern Park Mall, Saket",2,0.02
"The Grand New Delhi, Vasant Kunj",2,0.02
"The Lodhi, Lodhi Road",2,0.02
Vikas Marg,2,0.02
"West End Mall, Janak Puri",2,0.02
"Fortune Inn Grazia, Sector 27, Noida",2,0.02
"Jaypee Greens, Greater Noida, Noida",2,0.02
"Logix Cyber Park, Sector 62, Noida",2,0.02
"Mosaic Hotels, Sector 18, Noida ",2,0.02
Sector 1,2,0.02
Sector 20,2,0.02
Sector 4,2,0.02
Sector 55,2,0.02
Sector 60,2,0.02
Sector 61,2,0.02
"Shopprix Mall, Sector 61, Noida",2,0.02
Fraser Road Area,2,0.02
Khajpura,2,0.02
Auroville,2,0.02
"The Promenade, White Town",2,0.02
Baner,2,0.02
Senapati Bapat Road,2,0.02
Assi Ghat,2,0.02
Nadesar,2,0.02
"Radisson Hotel, Nadesar",2,0.02
Sigra,2,0.02
Dwaraka Nagar,2,0.02
"Grand Indonesia Mall, Thamrin",2,0.02
Senopati,2,0.02
Federal Street,2,0.02
City Centre,2,0.02
Moseley,2,0.02
Mayfair,2,0.02
"Upper St Martin's Lane, Covent Garden",2,0.02
Cheetham Hill,2,0.02
Deansgate,2,0.02
Market Street,2,0.02
Oxford Road,2,0.02
Rusholme,2,0.02
"The Midland, Deansgate",2,0.02
Umm Ghuwailina,2,0.02
Gardens,2,0.02
Sea Point,2,0.02
V & A Waterfront,2,0.02
"Victoria Wharf, V & A Waterfront",2,0.02
Faerie Glen,2,0.02
"Menlyn Shopping Centre, Menlyn",2,0.02
"The Club Centre, Hazelwood, Near Waterkloof",2,0.02
Bryanston,2,0.02
"Pineslopes Shopping Centre, Fourways",2,0.02
"Bambalapitiya, Colombo 04",2,0.02
"Havelock Town, Colombo 05",2,0.02
Balgat,2,0.02
K�_�_�_k Esat,2,0.02
K۱z۱lay,2,0.02
Kuru�_e��me,2,0.02
"Century City Mall, Poblacion, Makati City",1,0.01
"Little Tokyo, Legaspi Village, Makati City",1,0.01
"Edsa Shangri-La, Ortigas, Mandaluyong City",1,0.01
"Sofitel Philippine Plaza Manila, Pasay City",1,0.01
